image,predicted_text
plate (1).jpg,
plate (10).jpg,
plate (100).jpg,
plate (1000).jpg,GA02R2523
plate (1001).jpg,
plate (1002).jpg,0A03400023
plate (1003).jpg,
plate (1004).jpg,
plate (1005).jpg,GA03Z7380
plate (1006).jpg,GA03I2271
plate (1007).jpg,
plate (1008).jpg,
plate (1009).jpg,
plate (101).jpg,GA07P0836
plate (1010).jpg,GA03AFGA47
plate (1011).jpg,GA06K0755
plate (1012).jpg,GA03Y3118
plate (1013).jpg,GA0782011
plate (1014).jpg,GA03P0837
plate (1015).jpg,GA1043686
plate (1016).jpg,GA03Z7280
plate (1017).jpg,
plate (1018).jpg,
plate (1019).jpg,GA06K0755
plate (102).jpg,
plate (1020).jpg,GA03I3271
plate (1021).jpg,GA03AFGA47
plate (1022).jpg,
plate (1023).jpg,
plate (1024).jpg,GA03A0115
plate (1025).jpg,FG104E6350
plate (1026).jpg,GA07K1739
plate (1027).jpg,25887529J
plate (1028).jpg,GA11036
plate (1029).jpg,
plate (103).jpg,
plate (1030).jpg,GI0405577
plate (1031).jpg,
plate (1032).jpg,
plate (1033).jpg,GA03C5768
plate (1034).jpg,GA03AF0590
plate (1035).jpg,GA1147376
plate (1036).jpg,GA1145082
plate (1037).jpg,
plate (1038).jpg,GW7Y6212
plate (1039).jpg,GA04E6154
plate (104).jpg,8GA0376070
plate (1040).jpg,GI07P5028
plate (1041).jpg,
plate (1042).jpg,GA06K0755
plate (1043).jpg,
plate (1044).jpg,GI07LJ197
plate (1045).jpg,
plate (1046).jpg,GA03AF1402
plate (1047).jpg,
plate (1048).jpg,
plate (1049).jpg,GA03R2523
plate (105).jpg,GA03C3630
plate (1050).jpg,GI1147376
plate (1051).jpg,
plate (1052).jpg,GI117376
plate (1053).jpg,
plate (1054).jpg,
plate (1055).jpg,
plate (1056).jpg,
plate (1057).jpg,
plate (1058).jpg,G03R4453
plate (1059).jpg,GA0AEJ405
plate (106).jpg,010455777
plate (1060).jpg,
plate (1061).jpg,
plate (1062).jpg,
plate (1063).jpg,0AC5577
plate (1064).jpg,
plate (1065).jpg,GI03Z4224
plate (1066).jpg,5I03ITJ142
plate (1067).jpg,
plate (1068).jpg,
plate (1069).jpg,
plate (107).jpg,GA0787456
plate (1070).jpg,
plate (1071).jpg,
plate (1072).jpg,GA03Z1071
plate (1073).jpg,GA03I4787
plate (1074).jpg,CA03R5230
plate (1075).jpg,03Y6212
plate (1076).jpg,GA1147376
plate (1077).jpg,
plate (1078).jpg,GA034F6733
plate (1079).jpg,GK03Z0441
plate (108).jpg,GA03Z1071
plate (1080).jpg,
plate (1081).jpg,GA0303630
plate (1082).jpg,GA04C9552
plate (1083).jpg,GA04C9552
plate (1084).jpg,GA03C3630
plate (1085).jpg,GA09A8743
plate (1086).jpg,
plate (1087).jpg,
plate (1088).jpg,
plate (1089).jpg,GA03I3271
plate (109).jpg,GI03Z1021
plate (1090).jpg,GI034F5171
plate (1091).jpg,
plate (1092).jpg,25847629J
plate (1093).jpg,GA04C5577
plate (1094).jpg,GA07L3197
plate (1095).jpg,GA03R2523
plate (1096).jpg,GA03Y2924
plate (1097).jpg,GA07E2447
plate (1098).jpg,GA1147376
plate (1099).jpg,GA03407789
plate (11).jpg,
plate (110).jpg,
plate (1100).jpg,GA03IF7743
plate (1101).jpg,GA024FGA48
plate (1102).jpg,
plate (1103).jpg,
plate (1104).jpg,GA5E5852
plate (1105).jpg,GA05J0593
plate (1106).jpg,
plate (1107).jpg,GA03P0837
plate (1108).jpg,GA06K0755
plate (1109).jpg,GA03R5581
plate (111).jpg,
plate (1110).jpg,GA03R7113
plate (1111).jpg,GA03Z8634
plate (1112).jpg,
plate (1113).jpg,GA07E2252
plate (1114).jpg,GA01C8053
plate (1115).jpg,03Y6242
plate (1116).jpg,
plate (1117).jpg,
plate (1118).jpg,GA03AF1402
plate (1119).jpg,GA03Y5252
plate (112).jpg,
plate (1120).jpg,GA03AF1402
plate (1121).jpg,GA03Y5252
plate (1122).jpg,GA03Y5252
plate (1123).jpg,GA03AF1402
plate (1124).jpg,GA03Y5252
plate (1125).jpg,GA03AF1402
plate (1126).jpg,GH03HH
plate (1127).jpg,GA03AFGA48
plate (1128).jpg,GH03HH
plate (1129).jpg,GA03AFGA48
plate (113).jpg,GA03405589
plate (1130).jpg,GA03405589
plate (1131).jpg,GA03405589
plate (1132).jpg,F04489
plate (1133).jpg,
plate (1134).jpg,
plate (1135).jpg,
plate (1136).jpg,
plate (1137).jpg,
plate (1138).jpg,
plate (1139).jpg,CA03Y8673
plate (114).jpg,
plate (1140).jpg,GA03MH5011
plate (1141).jpg,
plate (1142).jpg,GA0707456
plate (1143).jpg,
plate (1144).jpg,GA1143489
plate (1145).jpg,GA034FGA48
plate (1146).jpg,GA02405589
plate (1147).jpg,
plate (1148).jpg,GAGAE3630
plate (1149).jpg,GA03Y8242
plate (115).jpg,
plate (1150).jpg,
plate (1151).jpg,G07P5028
plate (1152).jpg,GA03AF9538
plate (1153).jpg,
plate (1154).jpg,
plate (1155).jpg,GA03AF8280
plate (1156).jpg,
plate (1157).jpg,GA03Z2801
plate (1158).jpg,MH030U1277
plate (1159).jpg,
plate (116).jpg,
plate (1160).jpg,GI02IF1402
plate (1161).jpg,
plate (1162).jpg,GI6JIF22J
plate (1163).jpg,GA03AF1686
plate (1164).jpg,GA1043686
plate (1165).jpg,GA03Z7380
plate (1166).jpg,03PGA78
plate (1167).jpg,GA0707456
plate (1168).jpg,GA0405577
plate (1169).jpg,0A03C5763
plate (117).jpg,
plate (1170).jpg,HI3520
plate (1171).jpg,GA09A8743
plate (1172).jpg,
plate (1173).jpg,GA1143489
plate (1174).jpg,
plate (1175).jpg,
plate (1176).jpg,GA03R2781
plate (1177).jpg,GA04C9552
plate (1178).jpg,9A9652
plate (1179).jpg,
plate (118).jpg,
plate (1180).jpg,
