frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_text,bbox_score,text_score
0,1.0,"[np.float64(76.39460754394531), np.float64(190.77432250976562), np.float64(359.6750183105469), np.float64(409.0267333984375)]","[229.13739013671875, 350.0957946777344, 301.00286865234375, 372.98406982421875]",GA04C9552,0.7801517248153687,0.6639243473270936
1,1.0,"[np.float64(76.31144820102466), np.float64(190.79122867162192), np.float64(359.6303599158257), np.float64(408.96475727573437)]","[229.14083862304688, 350.1092529296875, 301.0025939941406, 372.980224609375]",GA04C9552,0.7808804512023926,0.6508428505339867
2,1.0,"[np.float64(76.28549746812317), np.float64(190.71613223780787), np.float64(359.53264897001804), np.float64(408.49410151966333)]","[229.14285278320312, 350.12158203125, 301.0210876464844, 372.97802734375]",GA04C9552,0.7799423933029175,0.5372656329467744
3,1.0,"[np.float64(76.30091256939855), np.float64(190.77444124992968), np.float64(359.55637268643), np.float64(408.40336554718334)]","[229.15045166015625, 350.112060546875, 301.0271911621094, 372.9895935058594]",GA04C9552,0.7831484079360962,0.7404758874180979
4,1.0,"[np.float64(76.76522052103215), np.float64(190.97777355018206), np.float64(359.7156429139967), np.float64(408.46196738088383)]","[229.0918426513672, 350.079345703125, 301.07861328125, 372.96539306640625]",GA04C9552,0.7837095856666565,0.6867617767582225
5,1.0,"[np.float64(76.69882926117322), np.float64(190.8614304941642), np.float64(359.74429398444903), np.float64(408.3593274873142)]","[228.89195251464844, 350.01385498046875, 300.9018249511719, 372.9484558105469]",GA04C9552,0.7879572510719299,0.7789034342241166
6,1.0,"[np.float64(76.397557222323), np.float64(190.51468707644358), np.float64(359.57770328927165), np.float64(407.96376559186194)]","[228.91171264648438, 349.95904541015625, 300.7129211425781, 372.9002380371094]",GA04C9552,0.7920350432395935,0.7531683907262633
7,1.0,"[np.float64(75.57929502522799), np.float64(190.36255757193038), np.float64(359.26677548888415), np.float64(408.0723911185052)]","[228.48402404785156, 349.75872802734375, 301.054443359375, 373.0055236816406]",GA04C9552,0.80035001039505,0.616687452680568
8,1.0,"[np.float64(75.19561168096538), np.float64(190.40009106890724), np.float64(359.2594209433853), np.float64(408.4107771805104)]","[228.46588134765625, 349.7404479980469, 301.21710205078125, 373.00799560546875]",GA04C9552,0.8058520555496216,0.7463789513743466
9,1.0,"[np.float64(74.97548380310769), np.float64(190.27528277910108), np.float64(359.13546715360724), np.float64(408.2952903419541)]","[228.19442749023438, 349.7947692871094, 300.9405212402344, 373.0655212402344]",GA04C9552,0.8113304972648621,0.5492288916601935
